Generation,Top Fitness,Mean Fitness,Run Time (s)
1,4,1.015625,10.094368696212769
2,2,1.01171875,10.607602834701538
3,4,1.03515625,10.508477926254272
4,8,1.04296875,11.011339664459229
5,8,1.0703125,11.476491928100586
6,8,1.03125,11.246793746948242
7,2,1.015625,10.47353458404541
8,2,1.01171875,10.81504511833191
9,2,1.00390625,10.832023859024048
10,4,1.015625,10.387502431869507
11,7,1.04296875,11.324151992797852
12,8,1.0546875,10.31834864616394
13,8,1.06640625,11.140450716018677
14,8,1.0390625,11.68830680847168
15,3,1.02734375,10.885175228118896
16,4,1.01953125,10.51991081237793
17,11,1.10546875,10.868371725082397
18,8,1.13671875,11.718815088272095
19,5,1.09375,11.689714193344116
20,5,1.078125,10.897214412689209
21,8,1.11328125,11.563450574874878
22,6,1.08203125,11.05754017829895
23,8,1.11328125,10.73075795173645
24,4,1.03515625,10.557843446731567
25,10,1.109375,10.620345830917358
26,11,1.21875,11.6521155834198
27,8,1.15234375,11.371989011764526
28,8,1.16015625,11.756081342697144
29,8,1.21484375,11.110804319381714
30,8,1.09765625,10.738346338272095
31,9,1.1328125,10.826130151748657
32,16,1.234375,11.234798192977905
33,9,1.18359375,11.838441610336304
34,11,1.234375,11.707629442214966
35,8,1.11328125,11.115407705307007
36,13,1.28125,11.476560354232788
37,15,1.40625,12.17540454864502
38,26,1.37890625,12.62109375
39,25,1.52734375,12.187615156173706
40,31,1.78125,14.08695387840271
41,33,1.875,15.621307373046875
42,33,2.24609375,17.703442573547363
43,35,1.80078125,16.482898712158203
44,35,2.2109375,15.307066440582275
45,34,2.30078125,17.44760513305664
46,35,1.94921875,15.448647499084473
47,32,1.8515625,14.45731496810913
48,34,2.67578125,18.058465003967285
49,31,1.74609375,16.405231475830078
50,34,2.14453125,14.959551334381104
51,32,1.84765625,15.004516124725342
52,35,2.19140625,17.201029300689697
53,34,2.71484375,18.396122217178345
54,83,2.53125,20.033560037612915
55,49,2.65234375,18.962087392807007
56,33,2.265625,16.69952702522278
57,112,2.88671875,18.512561082839966
58,34,2.71875,18.659737586975098
59,33,1.8671875,16.894098043441772
60,52,2.5234375,19.193065881729126
61,33,2.4921875,17.045515775680542
62,34,2.125,16.738669633865356
63,33,2.3671875,16.86151623725891
64,33,1.72265625,15.299584150314331
65,33,1.83984375,14.962031841278076
66,33,2.06640625,15.823513984680176
67,34,2.13671875,15.53151559829712
68,34,2.33984375,17.520000219345093
69,35,2.1015625,16.053768396377563
70,35,1.9375,16.953553676605225
71,35,2.51171875,17.81551504135132
72,27,1.59375,14.72055196762085
